protein_A,protein_B,string_id_A,string_id_B,score,nscore,escore,dscore,tscore
INMT,AOC1,9606.ENSP00000013222,9606.ENSP00000411613,0.912,0.0,0.0,0.9,0.156
INMT,MAOA,9606.ENSP00000013222,9606.ENSP00000340684,0.93,0.0,0.0,0.9,0.321
INMT,MAOB,9606.ENSP00000013222,9606.ENSP00000367309,0.95,0.0,0.0,0.9,0.519
PAG1,CD3E,9606.ENSP00000220597,9606.ENSP00000354566,0.531,0.0,0.095,0.5,0.0
PAG1,SYK,9606.ENSP00000220597,9606.ENSP00000364898,0.535,0.0,0.323,0.0,0.311
PAG1,FCER1A,9606.ENSP00000220597,9606.ENSP00000357097,0.727,0.0,0.058,0.0,0.717
CD79A,TPSAB1,9606.ENSP00000221972,9606.ENSP00000343577,0.424,0.0,0.0,0.0,0.398
CD79A,FCER1A,9606.ENSP00000221972,9606.ENSP00000357097,0.49,0.0,0.179,0.0,0.338
CD79A,IGKV2D-28,9606.ENSP00000221972,9606.ENSP00000452662,0.563,0.0,0.0,0.54,0.091
CD79A,IGHV3-11,9606.ENSP00000221972,9606.ENSP00000474135,0.61,0.0,0.0,0.54,0.165
CD79A,IGKV2D-40,9606.ENSP00000221972,9606.ENSP00000452747,0.622,0.0,0.179,0.54,0.069
CD79A,PIK3AP1,9606.ENSP00000221972,9606.ENSP00000339826,0.625,0.0,0.0,0.5,0.204
CD79A,IGKV1-33,9606.ENSP00000221972,9606.ENSP00000479032,0.63,0.0,0.179,0.54,0.089
CD79A,MS4A2,9606.ENSP00000221972,9606.ENSP00000278888,0.638,0.0,0.0,0.0,0.627
CD79A,CD3E,9606.ENSP00000221972,9606.ENSP00000354566,0.661,0.0,0.0,0.0,0.603
CD79A,IGKV1D-33,9606.ENSP00000221972,9606.ENSP00000482678,0.662,0.0,0.179,0.54,0.167
CD79A,LOC102723407,9606.ENSP00000221972,9606.ENSP00000478289,0.965,0.0,0.0,0.54,0.926
CD79A,SYK,9606.ENSP00000221972,9606.ENSP00000364898,0.996,0.0,0.294,0.4,0.992
CD79A,BLNK,9606.ENSP00000221972,9606.ENSP00000224337,0.998,0.0,0.625,0.4,0.991
CPA4,HDC,9606.ENSP00000222482,9606.ENSP00000267845,0.486,0.0,0.0,0.0,0.482
CPA4,MS4A2,9606.ENSP00000222482,9606.ENSP00000278888,0.578,0.0,0.0,0.0,0.578
CPA4,FCER1A,9606.ENSP00000222482,9606.ENSP00000357097,0.659,0.0,0.0,0.0,0.659
CPA4,TPSAB1,9606.ENSP00000222482,9606.ENSP00000343577,0.752,0.0,0.126,0.0,0.726
CPA4,CMA1,9606.ENSP00000222482,9606.ENSP00000250378,0.852,0.0,0.126,0.0,0.836
BLNK,IGKV2D-28,9606.ENSP00000224337,9606.ENSP00000452662,0.4,0.0,0.0,0.4,0.0
BLNK,IGKV1-33,9606.ENSP00000224337,9606.ENSP00000479032,0.4,0.0,0.0,0.4,0.0
BLNK,IGKV2D-40,9606.ENSP00000224337,9606.ENSP00000452747,0.4,0.0,0.0,0.4,0.0
BLNK,IGKV1D-33,9606.ENSP00000224337,9606.ENSP00000482678,0.4,0.0,0.0,0.4,0.0
BLNK,FCER1G,9606.ENSP00000224337,9606.ENSP00000289902,0.409,0.0,0.0,0.0,0.365
BLNK,IGHV3-11,9606.ENSP00000224337,9606.ENSP00000474135,0.414,0.0,0.0,0.4,0.064
BLNK,FCER1A,9606.ENSP00000224337,9606.ENSP00000357097,0.43,0.0,0.0,0.0,0.406
BLNK,LOC102723407,9606.ENSP00000224337,9606.ENSP00000478289,0.518,0.0,0.0,0.0,0.518
BLNK,LAT2,9606.ENSP00000224337,9606.ENSP00000381492,0.696,0.0,0.0,0.0,0.67
BLNK,PIK3AP1,9606.ENSP00000224337,9606.ENSP00000339826,0.702,0.0,0.0,0.5,0.376
BLNK,LAT,9606.ENSP00000224337,9606.ENSP00000378845,0.844,0.0,0.061,0.0,0.841
BLNK,SYK,9606.ENSP00000224337,9606.ENSP00000364898,0.999,0.0,0.625,0.9,0.998
ODC1,HDC,9606.ENSP00000234111,9606.ENSP00000267845,0.619,0.056,0.0,0.13,0.574
ODC1,PAOX,9606.ENSP00000234111,9606.ENSP00000278060,0.81,0.0,0.0,0.0,0.81
ODC1,SAT2,9606.ENSP00000234111,9606.ENSP00000269298,0.925,0.061,0.0,0.9,0.269
ODC1,AOC1,9606.ENSP00000234111,9606.ENSP00000411613,0.964,0.0,0.0,0.9,0.648
CMA1,HDC,9606.ENSP00000250378,9606.ENSP00000267845,0.526,0.0,0.099,0.104,0.392
CMA1,FCER1A,9606.ENSP00000250378,9606.ENSP00000357097,0.681,0.0,0.113,0.0,0.472
CMA1,TPSAB1,9606.ENSP00000250378,9606.ENSP00000343577,0.708,0.0,0.0,0.4,0.25
CMA1,MS4A2,9606.ENSP00000250378,9606.ENSP00000278888,0.81,0.0,0.0,0.0,0.74
CMA1,CPA3,9606.ENSP00000250378,9606.ENSP00000296046,0.966,0.0,0.126,0.0,0.865
HRH4,PTGDR2,9606.ENSP00000256906,9606.ENSP00000332812,0.416,0.0,0.0,0.0,0.24
HRH4,AOC1,9606.ENSP00000256906,9606.ENSP00000411613,0.42,0.0,0.0,0.0,0.4
HRH4,HRH3,9606.ENSP00000256906,9606.ENSP00000342560,0.537,0.0,0.0,0.0,0.537
HRH4,HRH1,9606.ENSP00000256906,9606.ENSP00000380247,0.579,0.0,0.0,0.0,0.579
HRH4,HDC,9606.ENSP00000256906,9606.ENSP00000267845,0.761,0.0,0.0,0.0,0.728
SHC2,GAB2,9606.ENSP00000264554,9606.ENSP00000354952,0.464,0.0,0.0,0.0,0.463
SHC2,SYK,9606.ENSP00000264554,9606.ENSP00000364898,0.909,0.0,0.073,0.9,0.102
HDC,MAOB,9606.ENSP00000267845,9606.ENSP00000367309,0.458,0.0,0.067,0.0,0.442
HDC,FCER1A,9606.ENSP00000267845,9606.ENSP00000357097,0.645,0.0,0.0,0.0,0.349
HDC,TPSAB1,9606.ENSP00000267845,9606.ENSP00000343577,0.683,0.0,0.099,0.104,0.305
HDC,HRH3,9606.ENSP00000267845,9606.ENSP00000342560,0.79,0.0,0.0,0.0,0.79
HDC,HRH1,9606.ENSP00000267845,9606.ENSP00000380247,0.798,0.0,0.0,0.0,0.798
HDC,HRH2,9606.ENSP00000267845,9606.ENSP00000366506,0.799,0.0,0.0,0.0,0.791
HDC,MS4A2,9606.ENSP00000267845,9606.ENSP00000278888,0.819,0.0,0.0,0.0,0.214
HDC,CPA3,9606.ENSP00000267845,9606.ENSP00000296046,0.883,0.0,0.0,0.0,0.487
HDC,AOC1,9606.ENSP00000267845,9606.ENSP00000411613,0.963,0.0,0.0,0.9,0.648
HDC,HNMT,9606.ENSP00000267845,9606.ENSP00000280097,0.966,0.0,0.0,0.9,0.675
SAT2,PAOX,9606.ENSP00000269298,9606.ENSP00000278060,0.895,0.0,0.0,0.0,0.894
SAT2,AOC1,9606.ENSP00000269298,9606.ENSP00000411613,0.9,0.0,0.0,0.9,0.049
SAT2,MAOA,9606.ENSP00000269298,9606.ENSP00000340684,0.904,0.0,0.0,0.9,0.081
SAT2,MAOB,9606.ENSP00000269298,9606.ENSP00000367309,0.904,0.0,0.0,0.9,0.081
PNMT,AOC1,9606.ENSP00000269582,9606.ENSP00000411613,0.666,0.0,0.0,0.0,0.666
PNMT,MAOA,9606.ENSP00000269582,9606.ENSP00000340684,0.957,0.0,0.0,0.9,0.591
PNMT,MAOB,9606.ENSP00000269582,9606.ENSP00000367309,0.958,0.0,0.0,0.9,0.591
PAOX,AOC1,9606.ENSP00000278060,9606.ENSP00000411613,0.712,0.0,0.0,0.0,0.712
MS4A2,ADAM33,9606.ENSP00000278888,9606.ENSP00000348912,0.451,0.0,0.0,0.0,0.447
MS4A2,IGHV3-11,9606.ENSP00000278888,9606.ENSP00000474135,0.537,0.0,0.092,0.5,0.063
MS4A2,IGKV2D-28,9606.ENSP00000278888,9606.ENSP00000452662,0.54,0.0,0.0,0.5,0.119
MS4A2,IGKV2D-40,9606.ENSP00000278888,9606.ENSP00000452747,0.542,0.0,0.095,0.5,0.07
MS4A2,IGKV1-33,9606.ENSP00000278888,9606.ENSP00000479032,0.578,0.0,0.095,0.5,0.143
MS4A2,CD3E,9606.ENSP00000278888,9606.ENSP00000354566,0.584,0.0,0.0,0.0,0.574
MS4A2,IGKV1D-33,9606.ENSP00000278888,9606.ENSP00000482678,0.588,0.0,0.095,0.5,0.164
MS4A2,LILRA4,9606.ENSP00000278888,9606.ENSP00000291759,0.739,0.0,0.092,0.54,0.417
MS4A2,TPSAB1,9606.ENSP00000278888,9606.ENSP00000343577,0.85,0.0,0.0,0.0,0.596
MS4A2,LOC102723407,9606.ENSP00000278888,9606.ENSP00000478289,0.928,0.0,0.092,0.9,0.275
MS4A2,CPA3,9606.ENSP00000278888,9606.ENSP00000296046,0.938,0.0,0.0,0.0,0.711
MS4A2,SYK,9606.ENSP00000278888,9606.ENSP00000364898,0.957,0.0,0.297,0.9,0.422
MS4A2,FCER1G,9606.ENSP00000278888,9606.ENSP00000289902,0.985,0.0,0.0,0.9,0.858
MS4A2,FCER1A,9606.ENSP00000278888,9606.ENSP00000357097,0.996,0.0,0.095,0.9,0.926
HNMT,ADAM33,9606.ENSP00000280097,9606.ENSP00000348912,0.461,0.0,0.0,0.0,0.462
HNMT,PTGDR2,9606.ENSP00000280097,9606.ENSP00000332812,0.469,0.0,0.0,0.0,0.469
HNMT,HRH2,9606.ENSP00000280097,9606.ENSP00000366506,0.487,0.0,0.0,0.0,0.487
HNMT,HRH1,9606.ENSP00000280097,9606.ENSP00000380247,0.525,0.0,0.0,0.0,0.521
HNMT,HRH3,9606.ENSP00000280097,9606.ENSP00000342560,0.72,0.0,0.0,0.0,0.72
HNMT,MAOB,9606.ENSP00000280097,9606.ENSP00000367309,0.947,0.0,0.0,0.9,0.447
HNMT,MAOA,9606.ENSP00000280097,9606.ENSP00000340684,0.948,0.0,0.0,0.9,0.452
HNMT,AOC1,9606.ENSP00000280097,9606.ENSP00000411613,0.99,0.0,0.0,0.913,0.89
FCER1G,CLEC9A,9606.ENSP00000289902,9606.ENSP00000348074,0.409,0.0,0.0,0.0,0.352
FCER1G,LAT2,9606.ENSP00000289902,9606.ENSP00000381492,0.43,0.0,0.0,0.0,0.285
FCER1G,LILRA6,9606.ENSP00000289902,9606.ENSP00000379651,0.435,0.0,0.0,0.0,0.315
FCER1G,IGKV2D-28,9606.ENSP00000289902,9606.ENSP00000452662,0.499,0.0,0.0,0.5,0.0
FCER1G,IGHV3-11,9606.ENSP00000289902,9606.ENSP00000474135,0.517,0.0,0.0,0.5,0.075
FCER1G,IGKV1-33,9606.ENSP00000289902,9606.ENSP00000479032,0.524,0.0,0.0,0.5,0.081
FCER1G,IGKV1D-33,9606.ENSP00000289902,9606.ENSP00000482678,0.524,0.0,0.0,0.5,0.081
FCER1G,IGKV2D-40,9606.ENSP00000289902,9606.ENSP00000452747,0.524,0.0,0.0,0.5,0.081
FCER1G,CD3E,9606.ENSP00000289902,9606.ENSP00000354566,0.531,0.0,0.0,0.0,0.467
FCER1G,GAB2,9606.ENSP00000289902,9606.ENSP00000354952,0.582,0.0,0.0,0.0,0.576
FCER1G,CLEC1B,9606.ENSP00000289902,9606.ENSP00000298527,0.65,0.0,0.0,0.0,0.593
FCER1G,MPIG6B,9606.ENSP00000289902,9606.ENSP00000497720,0.68,0.0,0.0,0.5,0.379
FCER1G,LAT,9606.ENSP00000289902,9606.ENSP00000378845,0.817,0.0,0.0,0.5,0.641
FCER1G,CLEC4C,9606.ENSP00000289902,9606.ENSP00000440428,0.913,0.0,0.292,0.7,0.618
FCER1G,LOC102723407,9606.ENSP00000289902,9606.ENSP00000478289,0.919,0.0,0.0,0.9,0.223
FCER1G,LILRA2,9606.ENSP00000289902,9606.ENSP00000375618,0.921,0.0,0.0,0.0,0.897
FCER1G,FCAR,9606.ENSP00000289902,9606.ENSP00000347714,0.984,0.0,0.292,0.0,0.977
FCER1G,OSCAR,9606.ENSP00000289902,9606.ENSP00000479089,0.994,0.0,0.0,0.0,0.992
FCER1G,LILRA4,9606.ENSP00000289902,9606.ENSP00000291759,0.994,0.0,0.0,0.9,0.937
FCER1G,FCER1A,9606.ENSP00000289902,9606.ENSP00000357097,0.997,0.0,0.0,0.9,0.975
FCER1G,CLEC6A,9606.ENSP00000289902,9606.ENSP00000371505,0.999,0.0,0.0,0.9,0.994
FCER1G,SYK,9606.ENSP00000289902,9606.ENSP00000364898,0.999,0.0,0.954,0.9,0.998
LILRA4,LILRA6,9606.ENSP00000291759,9606.ENSP00000379651,0.415,0.0,0.061,0.0,0.346
LILRA4,CLEC9A,9606.ENSP00000291759,9606.ENSP00000348074,0.509,0.0,0.0,0.0,0.479
LILRA4,FCER1A,9606.ENSP00000291759,9606.ENSP00000357097,0.711,0.0,0.126,0.0,0.654
LILRA4,CLEC4C,9606.ENSP00000291759,9606.ENSP00000440428,0.837,0.0,0.0,0.0,0.778
LILRA4,SYK,9606.ENSP00000291759,9606.ENSP00000364898,0.942,0.0,0.102,0.9,0.322
CPA3,FCER1A,9606.ENSP00000296046,9606.ENSP00000357097,0.921,0.0,0.0,0.0,0.782
CPA3,TPSAB1,9606.ENSP00000296046,9606.ENSP00000343577,0.945,0.0,0.126,0.0,0.734
CLEC1B,CLEC6A,9606.ENSP00000298527,9606.ENSP00000371505,0.552,0.0,0.0,0.0,0.484
CLEC1B,CLEC9A,9606.ENSP00000298527,9606.ENSP00000348074,0.696,0.0,0.0,0.0,0.483
CLEC1B,MPIG6B,9606.ENSP00000298527,9606.ENSP00000497720,0.765,0.0,0.0,0.5,0.506
CLEC1B,SYK,9606.ENSP00000298527,9606.ENSP00000364898,0.992,0.0,0.045,0.9,0.925
SHC4,SYK,9606.ENSP00000329668,9606.ENSP00000364898,0.904,0.0,0.073,0.9,0.05
PTGDR2,FCER1A,9606.ENSP00000332812,9606.ENSP00000357097,0.493,0.0,0.0,0.0,0.446
PTGDR2,CLEC4C,9606.ENSP00000332812,9606.ENSP00000440428,0.512,0.0,0.0,0.0,0.505
PTGDR2,ADAM33,9606.ENSP00000332812,9606.ENSP00000348912,0.558,0.0,0.0,0.0,0.558
PIK3AP1,IGKV1-33,9606.ENSP00000339826,9606.ENSP00000479032,0.499,0.0,0.0,0.5,0.0
PIK3AP1,IGKV2D-40,9606.ENSP00000339826,9606.ENSP00000452747,0.499,0.0,0.0,0.5,0.0
PIK3AP1,IGKV1D-33,9606.ENSP00000339826,9606.ENSP00000482678,0.499,0.0,0.0,0.5,0.0
PIK3AP1,IGKV2D-28,9606.ENSP00000339826,9606.ENSP00000452662,0.499,0.0,0.0,0.5,0.0
PIK3AP1,IGHV3-11,9606.ENSP00000339826,9606.ENSP00000474135,0.526,0.0,0.091,0.5,0.0
PIK3AP1,SYK,9606.ENSP00000339826,9606.ENSP00000364898,0.953,0.0,0.312,0.9,0.291
MAOA,MAOB,9606.ENSP00000340684,9606.ENSP00000367309,0.965,0.0,0.609,0.9,0.063
MAOA,AOC1,9606.ENSP00000340684,9606.ENSP00000411613,0.97,0.0,0.0,0.9,0.7
HRH3,AOC1,9606.ENSP00000342560,9606.ENSP00000411613,0.449,0.0,0.0,0.0,0.431
HRH3,MAOB,9606.ENSP00000342560,9606.ENSP00000367309,0.498,0.0,0.0,0.0,0.475
HRH3,HRH1,9606.ENSP00000342560,9606.ENSP00000380247,0.547,0.0,0.0,0.0,0.547
HRH3,HRH2,9606.ENSP00000342560,9606.ENSP00000366506,0.684,0.0,0.0,0.0,0.679
TPSAB1,FCER1A,9606.ENSP00000343577,9606.ENSP00000357097,0.631,0.0,0.113,0.0,0.42
FCAR,SYK,9606.ENSP00000347714,9606.ENSP00000364898,0.479,0.0,0.0,0.0,0.435
FCAR,FCER1A,9606.ENSP00000347714,9606.ENSP00000357097,0.744,0.0,0.0,0.0,0.739
FCAR,LOC102723407,9606.ENSP00000347714,9606.ENSP00000478289,0.914,0.0,0.0,0.9,0.176
CLEC9A,FCER1A,9606.ENSP00000348074,9606.ENSP00000357097,0.565,0.0,0.091,0.0,0.489
CLEC9A,SYK,9606.ENSP00000348074,9606.ENSP00000364898,0.812,0.0,0.045,0.0,0.807
ADAM33,FCER1A,9606.ENSP00000348912,9606.ENSP00000357097,0.513,0.0,0.0,0.0,0.513
CD3E,FCER1A,9606.ENSP00000354566,9606.ENSP00000357097,0.523,0.0,0.0,0.0,0.444
CD3E,LAT,9606.ENSP00000354566,9606.ENSP00000378845,0.77,0.0,0.292,0.5,0.232
CD3E,SYK,9606.ENSP00000354566,9606.ENSP00000364898,0.997,0.0,0.966,0.9,0.278
GAB2,IGHV3-11,9606.ENSP00000354952,9606.ENSP00000474135,0.4,0.0,0.0,0.4,0.0
GAB2,IGKV1D-33,9606.ENSP00000354952,9606.ENSP00000482678,0.4,0.0,0.0,0.4,0.0
GAB2,IGKV2D-40,9606.ENSP00000354952,9606.ENSP00000452747,0.4,0.0,0.0,0.4,0.0
GAB2,IGKV1-33,9606.ENSP00000354952,9606.ENSP00000479032,0.4,0.0,0.0,0.4,0.0
GAB2,IGKV2D-28,9606.ENSP00000354952,9606.ENSP00000452662,0.4,0.0,0.0,0.4,0.0
GAB2,LAT,9606.ENSP00000354952,9606.ENSP00000378845,0.401,0.0,0.292,0.0,0.189
GAB2,LAT2,9606.ENSP00000354952,9606.ENSP00000381492,0.547,0.0,0.0,0.5,0.123
GAB2,SYK,9606.ENSP00000354952,9606.ENSP00000364898,0.975,0.0,0.0,0.9,0.766
FCER1A,OR10J1,9606.ENSP00000357097,9606.ENSP00000492902,0.498,0.0,0.091,0.0,0.47
FCER1A,IGKV2D-28,9606.ENSP00000357097,9606.ENSP00000452662,0.499,0.0,0.0,0.5,0.0
FCER1A,IGKV1D-33,9606.ENSP00000357097,9606.ENSP00000482678,0.507,0.0,0.0,0.5,0.056
FCER1A,IGKV1-33,9606.ENSP00000357097,9606.ENSP00000479032,0.507,0.0,0.0,0.5,0.056
FCER1A,IGKV2D-40,9606.ENSP00000357097,9606.ENSP00000452747,0.512,0.0,0.0,0.5,0.065
FCER1A,IGHV3-11,9606.ENSP00000357097,9606.ENSP00000474135,0.544,0.0,0.126,0.5,0.042
FCER1A,CLEC4C,9606.ENSP00000357097,9606.ENSP00000440428,0.701,0.0,0.091,0.0,0.678
FCER1A,LOC102723407,9606.ENSP00000357097,9606.ENSP00000478289,0.917,0.0,0.126,0.9,0.133
FCER1A,SYK,9606.ENSP00000357097,9606.ENSP00000364898,0.969,0.0,0.321,0.9,0.547
SYK,IGKV2D-28,9606.ENSP00000364898,9606.ENSP00000452662,0.4,0.0,0.0,0.4,0.0
SYK,IGKV1-33,9606.ENSP00000364898,9606.ENSP00000479032,0.425,0.0,0.081,0.4,0.0
SYK,IGKV2D-40,9606.ENSP00000364898,9606.ENSP00000452747,0.425,0.0,0.081,0.4,0.0
SYK,IGKV1D-33,9606.ENSP00000364898,9606.ENSP00000482678,0.425,0.0,0.081,0.4,0.0
SYK,IGHV3-11,9606.ENSP00000364898,9606.ENSP00000474135,0.452,0.0,0.102,0.4,0.065
SYK,CLEC4C,9606.ENSP00000364898,9606.ENSP00000440428,0.597,0.0,0.045,0.0,0.594
SYK,MPIG6B,9606.ENSP00000364898,9606.ENSP00000497720,0.653,0.0,0.0,0.5,0.325
SYK,LAT2,9606.ENSP00000364898,9606.ENSP00000381492,0.904,0.0,0.0,0.4,0.816
SYK,LILRB5,9606.ENSP00000364898,9606.ENSP00000406478,0.917,0.0,0.102,0.9,0.109
SYK,LILRA5,9606.ENSP00000364898,9606.ENSP00000404236,0.919,0.0,0.0,0.9,0.153
SYK,LILRA6,9606.ENSP00000364898,9606.ENSP00000379651,0.925,0.0,0.05,0.9,0.201
SYK,LILRA2,9606.ENSP00000364898,9606.ENSP00000375618,0.93,0.0,0.081,0.9,0.2
SYK,OSCAR,9606.ENSP00000364898,9606.ENSP00000479089,0.934,0.0,0.102,0.9,0.295
SYK,SH3BP2,9606.ENSP00000364898,9606.ENSP00000424846,0.937,0.0,0.627,0.0,0.836
SYK,CLEC6A,9606.ENSP00000364898,9606.ENSP00000371505,0.954,0.0,0.045,0.5,0.905
SYK,LOC102723407,9606.ENSP00000364898,9606.ENSP00000478289,0.955,0.0,0.102,0.9,0.547
SYK,CBLB,9606.ENSP00000364898,9606.ENSP00000499037,0.96,0.0,0.555,0.9,0.186
SYK,LAT,9606.ENSP00000364898,9606.ENSP00000378845,0.978,0.0,0.294,0.7,0.904
HRH2,AOC1,9606.ENSP00000366506,9606.ENSP00000411613,0.446,0.0,0.0,0.0,0.441
HRH2,HRH1,9606.ENSP00000366506,9606.ENSP00000380247,0.584,0.0,0.0,0.0,0.576
MAOB,AOC1,9606.ENSP00000367309,9606.ENSP00000411613,0.971,0.0,0.0,0.9,0.711
CLEC6A,CBLB,9606.ENSP00000371505,9606.ENSP00000499037,0.9,0.0,0.0,0.9,0.0
LILRA2,LILRA5,9606.ENSP00000375618,9606.ENSP00000404236,0.406,0.0,0.0,0.0,0.097
LAT,IGKV1D-33,9606.ENSP00000378845,9606.ENSP00000482678,0.499,0.0,0.0,0.5,0.0
LAT,IGKV2D-40,9606.ENSP00000378845,9606.ENSP00000452747,0.499,0.0,0.0,0.5,0.0
LAT,IGKV1-33,9606.ENSP00000378845,9606.ENSP00000479032,0.499,0.0,0.0,0.5,0.0
LAT,IGKV2D-28,9606.ENSP00000378845,9606.ENSP00000452662,0.499,0.0,0.0,0.5,0.0
LAT,IGHV3-11,9606.ENSP00000378845,9606.ENSP00000474135,0.507,0.0,0.0,0.5,0.0
LAT,SH3BP2,9606.ENSP00000378845,9606.ENSP00000424846,0.77,0.0,0.656,0.0,0.358
LAT,LAT2,9606.ENSP00000378845,9606.ENSP00000381492,0.918,0.0,0.0,0.0,0.916
HRH1,AOC1,9606.ENSP00000380247,9606.ENSP00000411613,0.445,0.0,0.0,0.0,0.445
LAT2,IGKV1D-33,9606.ENSP00000381492,9606.ENSP00000482678,0.4,0.0,0.0,0.4,0.0
LAT2,IGHV3-11,9606.ENSP00000381492,9606.ENSP00000474135,0.4,0.0,0.0,0.4,0.0
LAT2,IGKV2D-40,9606.ENSP00000381492,9606.ENSP00000452747,0.4,0.0,0.0,0.4,0.0
LAT2,IGKV1-33,9606.ENSP00000381492,9606.ENSP00000479032,0.4,0.0,0.0,0.4,0.0
LAT2,IGKV2D-28,9606.ENSP00000381492,9606.ENSP00000452662,0.4,0.0,0.0,0.4,0.0
IGKV2D-28,IGKV2D-40,9606.ENSP00000452662,9606.ENSP00000452747,0.551,0.0,0.0,0.54,0.054
IGKV2D-28,IGKV1D-33,9606.ENSP00000452662,9606.ENSP00000482678,0.554,0.0,0.0,0.54,0.0
IGKV2D-28,IGKV1-33,9606.ENSP00000452662,9606.ENSP00000479032,0.561,0.0,0.0,0.54,0.057
IGKV2D-28,LOC102723407,9606.ENSP00000452662,9606.ENSP00000478289,0.713,0.0,0.0,0.54,0.213
IGKV2D-28,IGHV3-11,9606.ENSP00000452662,9606.ENSP00000474135,0.725,0.0,0.0,0.54,0.305
IGKV2D-40,IGKV1D-33,9606.ENSP00000452747,9606.ENSP00000482678,0.556,0.0,0.0,0.54,0.0
IGKV2D-40,IGKV1-33,9606.ENSP00000452747,9606.ENSP00000479032,0.567,0.0,0.0,0.54,0.064
IGKV2D-40,IGHV3-11,9606.ENSP00000452747,9606.ENSP00000474135,0.823,0.0,0.453,0.54,0.18
IGKV2D-40,LOC102723407,9606.ENSP00000452747,9606.ENSP00000478289,0.838,0.0,0.402,0.54,0.269
IGHV3-11,LOC102723407,9606.ENSP00000474135,9606.ENSP00000478289,0.59,0.0,0.0,0.54,0.104
IGHV3-11,IGKV1D-33,9606.ENSP00000474135,9606.ENSP00000482678,0.672,0.0,0.305,0.54,0.042
IGHV3-11,IGKV1-33,9606.ENSP00000474135,9606.ENSP00000479032,0.76,0.0,0.305,0.54,0.3
LOC102723407,IGKV1D-33,9606.ENSP00000478289,9606.ENSP00000482678,0.976,0.0,0.927,0.54,0.198
LOC102723407,IGKV1-33,9606.ENSP00000478289,9606.ENSP00000479032,0.981,0.0,0.927,0.54,0.368
IGKV1-33,IGKV1D-33,9606.ENSP00000479032,9606.ENSP00000482678,0.952,0.0,0.9,0.54,0.046
SETD6,NFKB1,9606.ENSP00000219315,9606.ENSP00000226574,0.479,0.0,0.052,0.4,0.158
SETD6,RELA,9606.ENSP00000219315,9606.ENSP00000384273,0.984,0.0,0.96,0.4,0.399
NFKB1,PLCG1,9606.ENSP00000226574,9606.ENSP00000244007,0.412,0.0,0.0,0.0,0.381
NFKB1,VAV3,9606.ENSP00000226574,9606.ENSP00000359073,0.44,0.0,0.0,0.0,0.436
NFKB1,VAV2,9606.ENSP00000226574,9606.ENSP00000360916,0.448,0.0,0.0,0.0,0.441
NFKB1,PLCG2,9606.ENSP00000226574,9606.ENSP00000482457,0.47,0.0,0.0,0.0,0.427
NFKB1,GRAP2,9606.ENSP00000226574,9606.ENSP00000339186,0.473,0.0,0.076,0.0,0.454
NFKB1,NKIRAS1,9606.ENSP00000226574,9606.ENSP00000393785,0.479,0.0,0.0,0.4,0.155
NFKB1,IL6R,9606.ENSP00000226574,9606.ENSP00000357470,0.496,0.0,0.0,0.0,0.476
NFKB1,PPP1R13L,9606.ENSP00000226574,9606.ENSP00000354218,0.496,0.0,0.394,0.0,0.177
NFKB1,NKIRAS2,9606.ENSP00000226574,9606.ENSP00000303580,0.516,0.0,0.0,0.4,0.198
NFKB1,PIK3CB,9606.ENSP00000226574,9606.ENSP00000501150,0.52,0.0,0.0,0.0,0.516
NFKB1,NOS3,9606.ENSP00000226574,9606.ENSP00000297494,0.528,0.0,0.073,0.0,0.512
NFKB1,PRKCA,9606.ENSP00000226574,9606.ENSP00000408695,0.716,0.0,0.091,0.0,0.684
NFKB1,SYK,9606.ENSP00000226574,9606.ENSP00000364898,0.741,0.0,0.095,0.0,0.694
NFKB1,NFKBID,9606.ENSP00000226574,9606.ENSP00000380109,0.834,0.0,0.674,0.0,0.501
NFKB1,PTGS2,9606.ENSP00000226574,9606.ENSP00000356438,0.842,0.0,0.203,0.0,0.798
NFKB1,CARD11,9606.ENSP00000226574,9606.ENSP00000380150,0.861,0.0,0.098,0.5,0.714
NFKB1,MALT1,9606.ENSP00000226574,9606.ENSP00000497997,0.87,0.0,0.091,0.5,0.7
NFKB1,ICAM1,9606.ENSP00000226574,9606.ENSP00000264832,0.903,0.0,0.0,0.0,0.881
NFKB1,BCL10,9606.ENSP00000226574,9606.ENSP00000498104,0.929,0.0,0.0,0.5,0.848
NFKB1,CXCL3,9606.ENSP00000226574,9606.ENSP00000296026,0.942,0.0,0.0,0.9,0.394
NFKB1,PRKCQ,9606.ENSP00000226574,9606.ENSP00000263125,0.953,0.0,0.062,0.9,0.536
NFKB1,NLRP12,9606.ENSP00000226574,9606.ENSP00000375653,0.954,0.0,0.042,0.9,0.536
NFKB1,CXCL2,9606.ENSP00000226574,9606.ENSP00000427279,0.969,0.0,0.0,0.9,0.667
NFKB1,NFKBIZ,9606.ENSP00000226574,9606.ENSP00000325663,0.988,0.0,0.364,0.9,0.805
NFKB1,MAP3K8,9606.ENSP00000226574,9606.ENSP00000263056,0.996,0.0,0.87,0.9,0.753
NFKB1,RELA,9606.ENSP00000226574,9606.ENSP00000384273,0.999,0.0,0.999,0.9,0.986
PLCG1,BCL10,9606.ENSP00000244007,9606.ENSP00000498104,0.623,0.0,0.0,0.0,0.623
PLCG1,DAPP1,9606.ENSP00000244007,9606.ENSP00000423602,0.674,0.0,0.0,0.0,0.674
